user,sex,age,technology_proficiency,material,color,pattern,rank,score
P03_1,f,69,4,Felt,Blue,Real_Recording,3,1
P03_1,f,69,4,Glass,Red,o3-generated,3,2
P03_1,f,69,4,Glass,Green,MyEdit,1,4
P03_1,f,69,4,Glass,Blue,Real_Recording,2,3
P03_1,f,69,4,Glass,Turquoise,HDB,4,1
P03_1,f,69,4,Denim,Red,o3-generated,1,2
P03_1,f,69,4,Denim,Green,MyEdit,2,1
P03_2,m,69,5,Leather,Red,o3-generated,3,2
P03_2,m,69,5,Leather,Green,MyEdit,4,1
P03_2,m,69,5,Leather,Blue,Real_Recording,1,4
P03_2,m,69,5,Leather,Turquoise,HDB,2,3
P03_2,m,69,5,Ceramic,Red,o3-generated,1,4
P03_2,m,69,5,Ceramic,Green,MyEdit,3,2
P03_2,m,69,5,Ceramic,Blue,Real_Recording,2,3
P03_2,m,69,5,Ceramic,Turquoise,HDB,4,1
P03_2,m,69,5,Metal,Red,o3-generated,1,4
P03_2,m,69,5,Metal,Green,MyEdit,2.5,2.5
P03_2,m,69,5,Metal,Blue,Real_Recording,4,1
P03_2,m,69,5,Metal,Turquoise,HDB,2.5,2.5
P03_2,m,69,5,Wood,Red,o3-generated,2,3
P03_2,m,69,5,Wood,Green,MyEdit,1,4
P03_2,m,69,5,Wood,Blue,Real_Recording,3,2
P03_2,m,69,5,Wood,Turquoise,HDB,4,1
P03_2,m,69,5,Plastic,Red,o3-generated,4,1
P03_2,m,69,5,Plastic,Green,MyEdit,2,3
P03_2,m,69,5,Plastic,Blue,Real_Recording,1,4
P03_2,m,69,5,Plastic,Turquoise,HDB,3,2
P03_2,m,69,5,Water,Red,o3-generated,1,3
P03_2,m,69,5,Water,Green,MyEdit,2,2
P03_2,m,69,5,Water,Blue,Real_Recording,3,1
P03_2,m,69,5,Stone,Red,o3-generated,3.5,1.5
P03_2,m,69,5,Stone,Green,MyEdit,3.5,1.5
P03_2,m,69,5,Stone,Blue,Real_Recording,1,4
P03_2,m,69,5,Stone,Turquoise,HDB,2,3
,,,
P04,m,76,5,Glass,Red,o3-generated,4,1
P04,m,76,5,Glass,Green,MyEdit,1,4
P04,m,76,5,Glass,Blue,Real_Recording,3,2
P04,m,76,5,Glass,Turquoise,HDB,2,3
P04,m,76,5,Leather,Red,o3-generated,2,2
P04,m,76,5,Leather,Green,MyEdit,2,2
P04,m,76,5,Leather,Blue,Real_Recording,2,2
P04,m,76,5,Leather,Turquoise,HDB,1,4
P04,m,76,5,Felt,Red,o3-generated,3,1
P04,m,76,5,Felt,Green,MyEdit,2,2
P04,m,76,5,Felt,Blue,Real_Recording,1,3
P04,m,76,5,Metal,Red,o3-generated,2,3
P04,m,76,5,Metal,Green,MyEdit,1,4
P04,m,76,5,Metal,Blue,Real_Recording,3.5,1.5
P04,m,76,5,Metal,Turquoise,HDB,3.5,1.5
P04,m,76,5,Denim,Red,o3-generated,3.5,1.5
P04,m,76,5,Denim,Green,MyEdit,3.5,1.5
P04,m,76,5,Denim,Blue,Real_Recording,2,3
P04,m,76,5,Denim,Turquoise,HDB,1,4
P04,m,76,5,Plastic,Red,o3-generated,4,1
P04,m,76,5,Plastic,Green,MyEdit,3,2
P04,m,76,5,Plastic,Blue,Real_Recording,2,3
P04,m,76,5,Plastic,Turquoise,HDB,1,4
P04,m,76,5,Ceramic,Red,o3-generated,3,2
P04,m,76,5,Ceramic,Green,MyEdit,4,1
P04,m,76,5,Ceramic,Blue,Real_Recording,2,3
P04,m,76,5,Ceramic,Turquoise,HDB,1,4
P04,m,76,5,Stone,Red,o3-generated,2,2
P04,m,76,5,Stone,Green,MyEdit,2,2
P04,m,76,5,Stone,Blue,Real_Recording,2,2
P04,m,76,5,Stone,Turquoise,HDB,1,4
P04,m,76,5,Wood,Red,o3-generated,3.5,1.5
P04,m,76,5,Wood,Green,MyEdit,3.5,1.5
P04,m,76,5,Wood,Blue,Real_Recording,1,4
P04,m,76,5,Wood,Turquoise,HDB,2,3
P04,m,76,5,Water,Red,o3-generated,2.5,1.5
P04,m,76,5,Water,Green,MyEdit,1,3
P04,m,76,5,Water,Blue,Real_Recording,2.5,1.5
,,,
P05_1,f,71,3,Leather,Red,o3-generated,2,2
P05_1,f,71,3,Leather,Green,MyEdit,2,2
P05_1,f,71,3,Leather,Blue,Real_Recording,2,2
P05_1,f,71,3,Leather,Turquoise,HDB,1,4
P05_1,f,71,3,Metal,Red,o3-generated,3,2
P05_1,f,71,3,Metal,Green,MyEdit,1,4
P05_1,f,71,3,Metal,Blue,Real_Recording,4,1
P05_1,f,71,3,Metal,Turquoise,HDB,2,3
P05_1,f,71,3,Glass,Red,o3-generated,1,4
P05_1,f,71,3,Glass,Green,MyEdit,3,2
P05_1,f,71,3,Glass,Blue,Real_Recording,2,3
P05_1,f,71,3,Glass,Turquoise,HDB,4,1
P05_1,f,71,3,Plastic,Red,o3-generated,4,1
P05_1,f,71,3,Plastic,Green,MyEdit,3,2
P05_1,f,71,3,Plastic,Blue,Real_Recording,2,3
P05_1,f,71,3,Plastic,Turquoise,HDB,1,4
P05_1,f,71,3,Felt,Red,o3-generated,2,2
P05_1,f,71,3,Felt,Green,MyEdit,1,3
P05_1,f,71,3,Felt,Blue,Real_Recording,3,1
P05_2,m,78,3,Stone,Red,o3-generated,4,1
P05_2,m,78,3,Stone,Green,MyEdit,3,2
P05_2,m,78,3,Stone,Blue,Real_Recording,2,3
P05_2,m,78,3,Stone,Turquoise,HDB,1,4
P05_2,m,78,3,Denim,Red,o3-generated,3.5,1.5
P05_2,m,78,3,Denim,Green,MyEdit,3.5,1.5
P05_2,m,78,3,Denim,Blue,Real_Recording,2,3
P05_2,m,78,3,Denim,Turquoise,HDB,1,4
P05_2,m,78,3,Water,Red,o3-generated,3,1
P05_2,m,78,3,Water,Green,MyEdit,1,3
P05_2,m,78,3,Water,Blue,Real_Recording,2,2
P05_2,m,78,3,Ceramic,Red,o3-generated,4,1
P05_2,m,78,3,Ceramic,Green,MyEdit,3,2
P05_2,m,78,3,Ceramic,Blue,Real_Recording,1,4
P05_2,m,78,3,Ceramic,Turquoise,HDB,2,3
P05_2,m,78,3,Wood,Red,o3-generated,3,2
P05_2,m,78,3,Wood,Green,MyEdit,2,3
P05_2,m,78,3,Wood,Blue,Real_Recording,4,1
P05_2,m,78,3,Wood,Turquoise,HDB,1,4
,,,
P06,f,63,5,Metal,Red,o3-generated,4,1
P06,f,63,5,Metal,Green,MyEdit,1,4
P06,f,63,5,Metal,Blue,Real_Recording,2,3
P06,f,63,5,Metal,Turquoise,HDB,3,2
P06,f,63,5,Plastic,Red,o3-generated,4,1
P06,f,63,5,Plastic,Green,MyEdit,3,2
P06,f,63,5,Plastic,Blue,Real_Recording,2,3
P06,f,63,5,Plastic,Turquoise,HDB,1,4
P06,f,63,5,Leather,Red,o3-generated,2,3
P06,f,63,5,Leather,Green,MyEdit,1,4
P06,f,63,5,Leather,Blue,Real_Recording,3,2
P06,f,63,5,Leather,Turquoise,HDB,4,1
P06,f,63,5,Stone,Red,o3-generated,4,1
P06,f,63,5,Stone,Green,MyEdit,2,3
P06,f,63,5,Stone,Blue,Real_Recording,3,2
P06,f,63,5,Stone,Turquoise,HDB,1,4
P06,f,63,5,Glass,Red,o3-generated,1,4
P06,f,63,5,Glass,Green,MyEdit,3,2
P06,f,63,5,Glass,Blue,Real_Recording,2,3
P06,f,63,5,Glass,Turquoise,HDB,4,1
P06,f,63,5,Water,Red,o3-generated,1,3
P06,f,63,5,Water,Green,MyEdit,3,1
P06,f,63,5,Water,Blue,Real_Recording,2,2
P06,f,63,5,Felt,Red,o3-generated,1,3
P06,f,63,5,Felt,Green,MyEdit,2,2
P06,f,63,5,Felt,Blue,Real_Recording,3,1
P06,f,63,5,Wood,Red,o3-generated,3,2
P06,f,63,5,Wood,Green,MyEdit,1,4
P06,f,63,5,Wood,Blue,Real_Recording,2,3
P06,f,63,5,Wood,Turquoise,HDB,4,1
P06,f,63,5,Denim,Red,o3-generated,4,1
P06,f,63,5,Denim,Green,MyEdit,3,2
P06,f,63,5,Denim,Blue,Real_Recording,1,4
P06,f,63,5,Denim,Turquoise,HDB,2,3
P06,f,63,5,Ceramic,Red,o3-generated,1,4
P06,f,63,5,Ceramic,Green,MyEdit,4,1
P06,f,63,5,Ceramic,Blue,Real_Recording,2,3
P06,f,63,5,Ceramic,Turquoise,HDB,3,2
,,,
P07_1,m,76,3,Plastic,Red,o3-generated,4,1
P07_1,m,76,3,Plastic,Green,MyEdit,3,2
P07_1,m,76,3,Plastic,Blue,Real_Recording,2,3
P07_1,m,76,3,Plastic,Turquoise,o3-generated,1,4
P07_1,m,76,3,Stone,Red,o3-generated,4,1
P07_1,m,76,3,Stone,Green,MyEdit,2,3
P07_1,m,76,3,Stone,Blue,Real_Recording,3,2
P07_1,m,76,3,Stone,Turquoise,HDB,1,4
P07_1,m,76,3,Metal,Red,o3-generated,1,4
P07_1,m,76,3,Metal,Green,MyEdit,2.5,2.5
P07_1,m,76,3,Metal,Blue,Real_Recording,2.5,2.5
P07_1,m,76,3,Metal,Turquoise,HDB,4,1
P07_1,m,76,3,Water,Red,o3-generated,3,1
P07_1,m,76,3,Water,Green,MyEdit,2,2
P07_1,m,76,3,Water,Blue,Real_Recording,1,3
P07_1,m,76,3,Leather,Red,o3-generated,1,4
P07_1,m,76,3,Leather,Green,MyEdit,2,3
P07_1,m,76,3,Leather,Blue,Real_Recording,3,2
P07_1,m,76,3,Leather,Turquoise,HDB,4,1
P07_1,m,76,3,Wood,Red,o3-generated,3,1
P07_1,m,76,3,Wood,Green,MyEdit,1,3
P07_1,m,76,3,Wood,Blue,Real_Recording,2,2
P07_2,f,78,4,Glass,Red,o3-generated,2,3
P07_2,f,78,4,Glass,Green,MyEdit,3,2
P07_2,f,78,4,Glass,Blue,Real_Recording,1,4
P07_2,f,78,4,Glass,Turquoise,HDB,4,1
P07_2,f,78,4,Ceramic,Red,o3-generated,1,4
P07_2,f,78,4,Ceramic,Green,MyEdit,2,3
P07_2,f,78,4,Ceramic,Blue,Real_Recording,3,2
P07_2,f,78,4,Ceramic,Turquoise,HDB,4,1
P07_2,f,78,4,Felt,Red,o3-generated,1,3
P07_2,f,78,4,Felt,Green,MyEdit,2,2
P07_2,f,78,4,Felt,Blue,Real_Recording,3,1
P07_2,f,78,4,Denim,Red,o3-generated,2,3
P07_2,f,78,4,Denim,Green,MyEdit,3,2
P07_2,f,78,4,Denim,Blue,Real_Recording,1,4
P07_2,f,78,4,Denim,Turquoise,o3-generated,4,1
,,,
P08_1,f,82,3,Water,Red,o3-generated,3,1
P08_1,f,82,3,Water,Green,MyEdit,1,3
P08_1,f,82,3,Water,Blue,Real_Recording,2,2
P08_1,f,82,3,Plastic,Red,o3-generated,3.5,1.5
P08_1,f,82,3,Plastic,Green,MyEdit,3.5,1.5
P08_1,f,82,3,Plastic,Blue,Real_Recording,1,4
P08_1,f,82,3,Plastic,Turquoise,HDB,2,3
P08_1,f,82,3,Metal,Red,o3-generated,1,4
P08_1,f,82,3,Metal,Green,MyEdit,3.5,1.5
P08_1,f,82,3,Metal,Blue,Real_Recording,2,3
P08_1,f,82,3,Metal,Turquoise,HDB,3.5,1.5
